,PIB_R_0,PIB_R_1C,EMP_0,EMP_1C,POPACT_0,POPACT_1C,EMISTOTALESD_0,EMISTOTALESD_1C,P_VAB_0,P_VAB_1C,P_CFIN_0,P_CFIN_1C,P_XBS_0,P_XBS_1C,RDMEN_0,RDMEN_1C,EQUEXT_R_0,EQUEXT_R_1C,I_R_0,I_R_1C,XBS_R_0,XBS_R_1C,SALM_0,SALM_1C,R_EQUEXT_R_0,R_EQUEXT_R_1C,R_EPMEN_0,R_EPMEN_1C,R_UBIT_0,R_UBIT_1C,R_RCDPSNM_0,R_RCDPSNM_1C,R_RCDPSNMPRIM_0,R_RCDPSNMPRIM_1C,R_EPMEN_0,R_EPMEN_1C,R_UBIT_0,R_UBIT_1C,R_RCDPSNM_0,R_RCDPSNM_1C
1985,15.81638,15.81638,162.1748,162.1748,155.5798,155.5798,NA,NA,0.483487,0.483487,0.536402,0.536402,0.539178,0.539178,NA,NA,2.792436,2.792436,1.941066,1.941066,14.03927,14.03927,22.86709,22.86709,17.65534,17.65534,NA,NA,2.900000,2.900000,NA,NA,NA,NA,NA,NA,2.900000,2.900000,NA,NA
1986,17.37850,17.37850,166.0591,166.0591,157.0282,157.0282,NA,NA,0.475760,0.475760,0.538118,0.538118,0.518879,0.518879,NA,NA,3.122705,3.122705,2.661944,2.661944,14.55272,14.55272,24.03701,24.03701,17.96879,17.96879,NA,NA,2.600000,2.600000,NA,NA,NA,NA,NA,NA,2.600000,2.600000,NA,NA
1987,18.08787,18.08787,170.5596,170.5596,159.3561,159.3561,NA,NA,0.464815,0.464815,0.542865,0.542865,0.494713,0.494713,NA,NA,3.082300,3.082300,3.134357,3.134357,15.37770,15.37770,24.97836,24.97836,17.04070,17.04070,NA,NA,2.500000,2.500000,NA,NA,NA,NA,NA,NA,2.500000,2.500000,NA,NA
1988,19.62772,19.62772,175.6882,175.6882,161.2135,161.2135,NA,NA,0.463919,0.463919,0.555216,0.555216,0.496386,0.496386,NA,NA,3.379562,3.379562,3.493783,3.493783,16.97124,16.97124,25.88095,25.88095,17.21831,17.21831,NA,NA,2.000000,2.000000,NA,NA,NA,NA,NA,NA,2.000000,2.000000,NA,NA
1989,21.56830,21.56830,181.7308,181.7308,163.2978,163.2978,NA,NA,0.468191,0.468191,0.573338,0.573338,0.496148,0.496148,NA,NA,4.382894,4.382894,3.734872,3.734872,19.28743,19.28743,28.08897,28.08897,20.32100,20.32100,NA,NA,1.800000,1.800000,NA,NA,NA,NA,NA,NA,1.800000,1.800000,NA,NA
1990,22.71926,22.71926,189.4318,189.4318,165.6162,165.6162,NA,NA,0.472256,0.472256,0.594453,0.594453,0.489360,0.489360,NA,NA,4.801606,4.801606,3.860895,3.860895,20.63144,20.63144,29.41888,29.41888,21.13452,21.13452,NA,NA,1.700000,1.700000,4.746737,4.746737,5.554255,5.554255,NA,NA,1.700000,1.700000,4.746737,4.746737
1991,24.67901,24.67901,196.9767,196.9767,167.9003,167.9003,NA,NA,0.478309,0.478309,0.614497,0.614497,0.496694,0.496694,NA,NA,5.366537,5.366537,4.469325,4.469325,22.54176,22.54176,31.01615,31.01615,21.74535,21.74535,NA,NA,1.600000,1.600000,-0.231977,-0.231977,0.509076,0.509076,NA,NA,1.600000,1.600000,-0.231977,-0.231977
1992,25.13798,25.13798,202.3376,202.3376,169.0326,169.0326,NA,NA,0.489927,0.489927,0.640301,0.640301,0.499266,0.499266,NA,NA,6.604947,6.604947,3.795557,3.795557,23.59108,23.59108,33.04423,33.04423,26.27478,26.27478,NA,NA,2.100000,2.100000,-0.799048,-0.799048,-0.093176,-0.093176,NA,NA,2.100000,2.100000,-0.799048,-0.799048
1993,26.19409,26.19409,205.9702,205.9702,169.4225,169.4225,NA,NA,0.491126,0.491126,0.665897,0.665897,0.503256,0.503256,NA,NA,6.968247,6.968247,4.577138,4.577138,25.11014,25.11014,34.95351,34.95351,26.60237,26.60237,NA,NA,2.600000,2.600000,0.882923,0.882923,1.590506,1.590506,NA,NA,2.600000,2.600000,0.882923,0.882923
1994,27.19393,27.19393,211.4188,211.4188,171.9396,171.9396,NA,NA,0.536019,0.536019,0.683334,0.683334,0.546463,0.546463,NA,NA,7.710312,7.710312,4.579087,4.579087,27.11611,27.11611,36.33949,36.33949,28.35306,28.35306,NA,NA,3.100000,3.100000,2.003375,2.003375,2.689216,2.689216,NA,NA,3.100000,3.100000,2.003375,2.003375
1995,27.58370,27.58370,216.9973,216.9973,174.1484,174.1484,NA,NA,0.535411,0.535411,0.680207,0.680207,0.547980,0.547980,7.999599,7.999599,8.480464,8.480464,4.720942,4.720942,29.05579,29.05579,36.80100,36.80100,30.74448,30.74448,15.34657,15.34657,2.900000,2.900000,2.680967,2.680967,3.220790,3.220790,15.34657,15.34657,2.900000,2.900000,2.680967,2.680967
1996,27.96930,27.96930,222.5999,222.5999,176.1586,176.1586,NA,NA,0.558564,0.558564,0.690861,0.690861,0.557781,0.557781,8.056972,8.056972,8.597634,8.597634,4.678934,4.678934,31.04640,31.04640,37.81060,37.81060,30.73954,30.73954,12.50397,12.50397,2.900000,2.900000,2.322436,2.322436,2.754075,2.754075,12.50397,12.50397,2.900000,2.900000,2.322436,2.322436
1997,29.48520,29.48520,229.8503,229.8503,178.9271,178.9271,NA,NA,0.575009,0.575009,0.701260,0.701260,0.567538,0.567538,8.573427,8.573427,9.335365,9.335365,5.073440,5.073440,35.52788,35.52788,38.75982,38.75982,31.66119,31.66119,13.85576,13.85576,2.500000,2.500000,2.503913,2.503913,2.875496,2.875496,13.85576,13.85576,2.500000,2.500000,2.503913,2.503913
